LABEL,author,year,title,property,fibre,matrix,fvf,material_type,ply_type,layup,rate_units,property_units,URL,data_source,n_repetitions,rate,property_mean,property_stdv,specimen_design,exp_setup,data_reduction,curve_fit,comments
# plot label,# first author surname,# publication year,# publication title,"# material property
legend={
""E"": ""Young's modulus"",
""E_11c"": ""Young's modulus, 11 compression component"",
""E_11t"": ""Young's modulus, 11 tension component"",
""E_22"": ""Young's modulus, 22 component"",
""E_22c"": ""Young's modulus, 22 compression component"",
""E_22t"": ""Young's modulus, 22 tension component"",
""E_33"": ""Young's modulus, 33 component"",
""E_33c"": ""Young's modulus, 33 compression component"",
""E_c"": ""Young's modulus, compression"",
""E_t"": ""Young's modulus, tension"",
""G_12"": ""Shear modulus, 12 component"",
""G_13"": ""Shear modulus, 13 component"",
""GIc"": ""Mode I critical energy release rate"",
""GIc/GIIc"": ""Mixed mode critical energy release rate"",
""GIcf-"": ""Critical energy release rate in longitudinal compression"",
""GIcf+"": ""Critical energy release rate in longitudinal tension"",
""GIIc"": ""Mode II critical energy release rate"",
""KIc"": ""Mode I fracture toughness"",
""S"": ""Shear strength"",
""S_12"": ""Shear strength, 12 direction"",
""X_c"": ""Longitudinal compression strength"",
""X_c (yield)"": ""Yield stress, longitudinal compression"",
""X_t"": ""Longitudinal tension strength"",
""Y_c"": ""Transverse compression strength"",
""Y_t"": ""Transverse tension strength"",
""Z_c"": ""Out-of-plane compression strength"",
""Z_t"": ""Out-of-plane compression strength"",
}",# fibre material,# matrix material,# fibre volme fraction,"# material type
legend={
""CF"": ""Carbon fibre"",
""CFRP"": ""Carbon fibre reinforced polymer"",
""GF"": ""Glass fibre"",
""GFRP"": ""Glass fibre reinforced polymer"",
""M"": ""Matrix"",
}","# ply type
legend={
""UD"": ""Unidirectional reinforcement"",
""woven"": ""Woven reinforcement"",
}",# ply lay-up,# strain rate units,# material property units,# publication URL,"# data source
legend={
""table"": ""Exact values reported in original source"",
""plot"": ""Values digitized from plots"",
}",# number of repetitions,# strain rate,# property mean value ,# property standard deviation,# details about the specimen type and/or dimensions,# details about the experimetal technique,# details about the data reduction technique,"# curve fitting flag
legend={
""0"": ""Outlier or unreliable data to be excluded from curve fitting exercise"",
""1"": ""Data to be included in curve fitting excercise"",
}",# any other comments
Melin (1999),Melin,1999,Effects of strain rate on transverse tension properties of a carbon/epoxy composite: studied by moiré photography,E_22t,HTA,6376C,,CFRP,UD,UD,1/s,GPa,https://doi.org/10.1016/S1359-835X(98)00123-7,table,4,QS,10.4,1.6,dogbone shape,hand-driven loading frame,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,270,8.5,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,300,8.7,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,320,7.8,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,340,10.4,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,360,7.6,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,450,11.1,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,460,10.1,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
,,,,,,,,,,,,,,,1,620,8.5,,dogbone shape,SHTB,,0,"decreasing modulus under dynamic loading, possibly related to strain overestimation from moiré photography"
